bubble: 0 0 0.000000083
insertion dumb: 0 0 0.000000042
insertion smart: 0 0 0.000000042
selection: 0 0 0
quick: 0 0 0.000000041
std: 0 0 0.000000042
bubble: 0 0 0
insertion dumb: 0 0 0
insertion smart: 0 0 0
selection: 0 0 0.000000042
quick: 0 0 0.000000042
std: 0 0 0.000000042
bubble: 0 0 0.000000042
insertion dumb: 0 0 0.000000042
insertion smart: 0 0 0.000000042
selection: 0 0 0.000000041
quick: 0 0 0
std: 0 0 0
bubble: 0 0 0
insertion dumb: 0 0 0.000000042
insertion smart: 0 0 0
selection: 0 0 0.000000042
quick: 0 0 0.000000042
std: 0 0 0
bubble: 0 0 0.000000042
insertion dumb: 0 0 0
insertion smart: 0 0 0.000000042
selection: 0 0 0.000000041
quick: 0 0 0.000000042
std: 0 0 0.000000042
bubble: 0 0 0.000000042
insertion dumb: 0 0 0.000000041
insertion smart: 0 0 0
selection: 0 0 0.000000042
quick: 0 0 0
std: 0 0 0.000000041
bubble: 0 0 0
insertion dumb: 0 0 0.000000042
insertion smart: 0 0 0.000000042
selection: 0 0 0
quick: 0 0 0
std: 0 0 0.000000042
bubble: 0 0 0
insertion dumb: 0 0 0.000000042
insertion smart: 0 0 0
selection: 0 0 0.000000042
quick: 0 0 0.000000042
std: 0 0 0
bubble: 0 0 0
insertion dumb: 0 0 0.000000041
insertion smart: 0 0 0.000000042
selection: 0 0 0
quick: 0 0 0.000000042
std: 0 0 0.000000042
bubble: 0 0 0.000000042
insertion dumb: 0 0 0.000000042
insertion smart: 0 0 0
selection: 0 0 0
quick: 0 0 0.000000042
std: 0 0 0.000000041
bubble: 10 72 0.000000417
insertion dumb: 10 33 0.000000208
insertion smart: 10 30 0.000000333
selection: 10 45 0.00000025
quick: 10 40 0.000000334
std: 10 33 0.00000025
bubble: 10 90 0.000000458
insertion dumb: 10 33 0.000000209
insertion smart: 10 30 0.00000025
selection: 10 45 0.000000208
quick: 10 26 0.000000209
std: 10 33 0.000000125
bubble: 10 72 0.000000458
insertion dumb: 10 31 0.000000125
insertion smart: 10 30 0.000000208
selection: 10 45 0.000000167
quick: 10 30 0.000000292
std: 10 31 0.000000125
bubble: 10 72 0.000000375
insertion dumb: 10 30 0.000000167
insertion smart: 10 30 0.00000025
selection: 10 45 0.000000209
quick: 10 28 0.000000166
std: 10 30 0.000000125
bubble: 10 63 0.000000333
insertion dumb: 10 35 0.000000166
insertion smart: 10 30 0.00000025
selection: 10 45 0.000000166
quick: 10 33 0.000000208
std: 10 35 0.000000125
bubble: 10 72 0.000000292
insertion dumb: 10 30 0.000000125
insertion smart: 10 30 0.00000025
selection: 10 45 0.000000166
quick: 10 45 0.000000208
std: 10 30 0.000000125
bubble: 10 54 0.000000333
insertion dumb: 10 26 0.000000125
insertion smart: 10 30 0.000000209
selection: 10 45 0.000000125
quick: 10 28 0.000000166
std: 10 26 0.000000084
bubble: 10 81 0.000000375
insertion dumb: 10 31 0.000000166
insertion smart: 10 30 0.000000292
selection: 10 45 0.000000167
quick: 10 37 0.000000167
std: 10 31 0.000000083
bubble: 10 63 0.000000292
insertion dumb: 10 30 0.000000125
insertion smart: 10 30 0.000000208
selection: 10 45 0.000000167
quick: 10 24 0.000000208
std: 10 30 0.000000083
bubble: 10 72 0.000000375
insertion dumb: 10 31 0.000000083
insertion smart: 10 30 0.000000208
selection: 10 45 0.000000208
quick: 10 23 0.000000209
std: 10 31 0.000000125
bubble: 100 8613 0.000025958
insertion dumb: 100 2552 0.000007458
insertion smart: 100 665 0.000004917
selection: 100 4950 0.0000135
quick: 100 1160 0.000004209
std: 100 701 0.000002833
bubble: 100 8415 0.00002625
insertion dumb: 100 2771 0.000008
insertion smart: 100 665 0.000004667
selection: 100 4950 0.000013458
quick: 100 837 0.000003583
std: 100 693 0.000002542
bubble: 100 8712 0.000027125
insertion dumb: 100 2570 0.0000075
insertion smart: 100 665 0.000004584
selection: 100 4950 0.000013583
quick: 100 814 0.000003625
std: 100 689 0.000002458
bubble: 100 9306 0.000028958
insertion dumb: 100 2748 0.000007916
insertion smart: 100 665 0.000004667
selection: 100 4950 0.000013541
quick: 100 947 0.000003875
std: 100 724 0.000003209
bubble: 100 8514 0.0000265
insertion dumb: 100 2514 0.00000725
insertion smart: 100 665 0.0000045
selection: 100 4950 0.000013541
quick: 100 965 0.00000375
std: 100 668 0.0000025
bubble: 100 8712 0.000026875
insertion dumb: 100 2617 0.000007541
insertion smart: 100 665 0.000004625
selection: 100 4950 0.0000135
quick: 100 1150 0.000004084
std: 100 706 0.0000025
bubble: 100 8514 0.00002675
insertion dumb: 100 2669 0.000007708
insertion smart: 100 665 0.000004625
selection: 100 4950 0.0000135
quick: 100 756 0.000003417
std: 100 677 0.0000025
bubble: 100 9207 0.000028625
insertion dumb: 100 2712 0.000007708
insertion smart: 100 665 0.000004667
selection: 100 4950 0.0000135
quick: 100 726 0.000003292
std: 100 647 0.000002375
bubble: 100 8316 0.000025708
insertion dumb: 100 2779 0.000007958
insertion smart: 100 665 0.000004667
selection: 100 4950 0.000013458
quick: 100 877 0.000003583
std: 100 729 0.000002667
bubble: 100 9702 0.00002975
insertion dumb: 100 2840 0.000008208
insertion smart: 100 665 0.000004667
selection: 100 4950 0.000013458
quick: 100 820 0.000003625
std: 100 708 0.000002583
bubble: 1000 982017 0.0032705
insertion dumb: 1000 242429 0.0011375
insertion smart: 1000 9966 0.00018975
selection: 1000 499500 0.002347917
quick: 1000 13870 0.000095708
std: 1000 10552 0.000069875
bubble: 1000 981018 0.004021167
insertion dumb: 1000 248089 0.001004166
insertion smart: 1000 9966 0.000159125
selection: 1000 499500 0.001871458
quick: 1000 14981 0.000067916
std: 1000 10773 0.000042917
bubble: 1000 957042 0.00326075
insertion dumb: 1000 243790 0.000866875
insertion smart: 1000 9966 0.000142333
selection: 1000 499500 0.001681209
